node_name,confidence,entry_timestamp,entry_price,exit_timestamp,exit_price,exit_reason,position_size,stop_loss,take_profit,pnl_points,pnl_percent,duration_held,trigger_reason,tags,workflow_matches,status
Fusion Node—Liquidity + Gamma + Time,Highest,2024-08-02 09:30:00,4100.099342830602,2024-08-02 09:40:00,4101.857935508017,TIMEOUT,1.7999999999999998,4060.738389139428,4339.955154386192,3.165466819347784,0.07720463712380267,20,4/4 conditions met: Key time window (hour: 9.5); Gamma/OI detected (669); Key time window (hour: 9.5),"Fusion, Gamma, Liquidity, Time, Confluence",4,CLOSED_TIMEOUT
Gamma Pin / Dealer Magnet Edge,High (with data),2024-08-02 09:30:00,4100.099342830602,2024-08-02 09:40:00,4101.857935508017,TIMEOUT,1.44,4050.8981507166345,4235.402621144011,2.532373455478228,0.061763709699042144,20,4/4 conditions met: Gamma/OI detected (669); Gamma/OI detected (669); Gamma/OI detected (669),"Gamma, OI, Pin, Dealer, Expiry",4,CLOSED_TIMEOUT
Fusion Node—Liquidity + Gamma + Time,Highest,2024-08-02 09:30:30,4100.071689970368,2024-08-02 09:40:00,4101.857935508017,TIMEOUT,1.7999999999999998,4060.7110017466525,4339.9258838336345,3.2152419677680877,0.07841916461200522,20,4/4 conditions met: Key time window (hour: 9.5); Gamma/OI detected (54); Key time window (hour: 9.5),"Fusion, Gamma, Liquidity, Time, Confluence",4,CLOSED_TIMEOUT
Gamma Pin / Dealer Magnet Edge,High (with data),2024-08-02 09:30:30,4100.071689970368,2024-08-02 09:40:00,4101.857935508017,TIMEOUT,1.44,4050.870829690724,4235.37405573939,2.5721935742144706,0.0627353316896042,20,4/4 conditions met: Gamma/OI detected (54); Gamma/OI detected (54); Gamma/OI detected (54),"Gamma, OI, Pin, Dealer, Expiry",4,CLOSED_TIMEOUT
Fusion Node—Liquidity + Gamma + Time,Highest,2024-08-02 09:31:00,4100.201227677988,2024-08-02 09:40:00,4101.857935508017,TIMEOUT,1.7999999999999998,4060.839295892279,4340.0629994971505,2.982074094053132,0.07272994490911681,20,4/4 conditions met: Key time window (hour: 9.516666666666667); Gamma/OI detected (152); Key time window (hour: 9.516666666666667),"Fusion, Gamma, Liquidity, Time, Confluence",4,CLOSED_TIMEOUT
Gamma Pin / Dealer Magnet Edge,High (with data),2024-08-02 09:31:00,4100.201227677988,2024-08-02 09:40:00,4101.857935508017,TIMEOUT,1.44,4050.998812945852,4235.507868191361,2.3856592752425057,0.05818395592729345,20,4/4 conditions met: Gamma/OI detected (152); Gamma/OI detected (152); Gamma/OI detected (152),"Gamma, OI, Pin, Dealer, Expiry",4,CLOSED_TIMEOUT
Fusion Node—Liquidity + Gamma + Time,Highest,2024-08-02 09:31:30,4100.505833649269,2024-08-02 09:40:00,4101.857935508017,TIMEOUT,1.7999999999999998,4061.140977646236,4340.385424917751,2.433783345746451,0.059353246757376056,20,4/4 conditions met: Key time window (hour: 9.516666666666667); Gamma/OI detected (245); Key time window (hour: 9.516666666666667),"Fusion, Gamma, Liquidity, Time, Confluence",4,CLOSED_TIMEOUT
Gamma Pin / Dealer Magnet Edge,High (with data),2024-08-02 09:31:30,4100.505833649269,2024-08-02 09:40:00,4101.857935508017,TIMEOUT,1.44,4051.299763645478,4235.8225261596945,1.9470266765971609,0.04748259740590085,20,4/4 conditions met: Gamma/OI detected (245); Gamma/OI detected (245); Gamma/OI detected (245),"Gamma, OI, Pin, Dealer, Expiry",4,CLOSED_TIMEOUT
Block Order Footprint Detection,High,2024-08-02 09:32:00,4100.459002974325,2024-08-02 09:40:00,4101.857935508017,TIMEOUT,1.2,4051.253494938633,4223.472773063555,1.6787190404309513,0.04093978355138459,20,"3/4 conditions met: Volume/footprint activity (spike: False, clusters: 2); Gamma/OI detected (399); Liquidity conditions met (proxy: 1410)","Block, Footprint, Breakout, Absorption",3,CLOSED_TIMEOUT
Fusion Node—Liquidity + Gamma + Time,Highest,2024-08-02 09:32:00,4100.459002974325,2024-08-02 09:40:00,4101.857935508017,TIMEOUT,1.7999999999999998,4061.0945965457713,4340.335854648323,2.5180785606464267,0.06140967532707688,20,4/4 conditions met: Key time window (hour: 9.533333333333333); Gamma/OI detected (399); Key time window (hour: 9.533333333333333),"Fusion, Gamma, Liquidity, Time, Confluence",4,CLOSED_TIMEOUT
