node_name,timestamp,trigger_reason,confidence,entry_price,node_type,tags,workflow_matches,validation_status,meta_total_workflow_steps,meta_matched_conditions,meta_data_row_index,meta_volume,meta_time_of_day
Block Order Footprint Detection,2024-08-02 04:00:00,"4/4 conditions met: Large print/block detected (size: 1883, vol: 2047); Volume/footprint activity (spike: False, clusters: 3); Gamma/OI detected (157)",High,1.07897,Black Box / Microstructure,"Block, Footprint, Breakout, Absorption",4,triggered,4,"[{'step': 1, 'description': 'Mark levels with persistent large prints and small net range.', 'reason': 'Large print/block detected (size: 1883, vol: 2047)'}, {'step': 2, 'description': 'Enter on expansion after final absorption or “push.”', 'reason': 'Volume/footprint activity (spike: False, clusters: 3)'}, {'step': 3, 'description': 'Confirm direction with OI delta or footprint chart.', 'reason': 'Gamma/OI detected (157)'}, {'step': 4, 'description': 'Exit at next liquidity node or risk level.', 'reason': 'Liquidity conditions met (proxy: 648207)'}]",0,2047,4.0
Dark Pool Signature / Block Print Node,2024-08-02 04:00:00,"3/4 conditions met: Large print/block detected (size: 1883, vol: 2047); Volume/footprint activity (spike: False, clusters: 3); Large print/block detected (size: 1883, vol: 2047)",High,1.07897,Black Box / Microstructure,"Dark Pool, Block, VWAP, Tape",3,triggered,4,"[{'step': 1, 'description': 'Monitor time & sales for large prints off-market or odd-lot prints at key levels.', 'reason': 'Large print/block detected (size: 1883, vol: 2047)'}, {'step': 2, 'description': 'Watch for volume surges with minimal visible size on Level 2.', 'reason': 'Volume/footprint activity (spike: False, clusters: 3)'}, {'step': 4, 'description': 'Log block prints and follow-through for pattern analysis.', 'reason': 'Large print/block detected (size: 1883, vol: 2047)'}]",0,2047,4.0
Gamma Pin / Dealer Magnet Edge,2024-08-02 04:00:00,4/4 conditions met: Gamma/OI detected (157); Gamma/OI detected (157); Gamma/OI detected (157),High (with data),1.07897,Black Box / Microstructure,"Gamma, OI, Pin, Dealer, Expiry",4,triggered,4,"[{'step': 1, 'description': 'Download OI/gamma by strike for main asset (SPX, NQ, ES, etc.).', 'reason': 'Gamma/OI detected (157)'}, {'step': 2, 'description': 'Overlay strike OI on price/time chart.', 'reason': 'Gamma/OI detected (157)'}, {'step': 3, 'description': 'Fade mean-reverting moves toward pin strike pre-expiry.', 'reason': 'Gamma/OI detected (157)'}, {'step': 4, 'description': 'Trade trend breakout post-expiry as dealer gamma flips/unwinds.', 'reason': 'Gamma/OI detected (157)'}]",0,2047,4.0
Block Order Footprint Detection,2024-08-02 05:00:00,"4/4 conditions met: Large print/block detected (size: 1341, vol: 2213); Volume/footprint activity (spike: False, clusters: 1); Gamma/OI detected (236)",High,1.07892,Black Box / Microstructure,"Block, Footprint, Breakout, Absorption",4,triggered,4,"[{'step': 1, 'description': 'Mark levels with persistent large prints and small net range.', 'reason': 'Large print/block detected (size: 1341, vol: 2213)'}, {'step': 2, 'description': 'Enter on expansion after final absorption or “push.”', 'reason': 'Volume/footprint activity (spike: False, clusters: 1)'}, {'step': 3, 'description': 'Confirm direction with OI delta or footprint chart.', 'reason': 'Gamma/OI detected (236)'}, {'step': 4, 'description': 'Exit at next liquidity node or risk level.', 'reason': 'Liquidity conditions met (proxy: 700795)'}]",1,2213,5.0
Dark Pool Signature / Block Print Node,2024-08-02 05:00:00,"3/4 conditions met: Large print/block detected (size: 1341, vol: 2213); Volume/footprint activity (spike: False, clusters: 1); Large print/block detected (size: 1341, vol: 2213)",High,1.07892,Black Box / Microstructure,"Dark Pool, Block, VWAP, Tape",3,triggered,4,"[{'step': 1, 'description': 'Monitor time & sales for large prints off-market or odd-lot prints at key levels.', 'reason': 'Large print/block detected (size: 1341, vol: 2213)'}, {'step': 2, 'description': 'Watch for volume surges with minimal visible size on Level 2.', 'reason': 'Volume/footprint activity (spike: False, clusters: 1)'}, {'step': 4, 'description': 'Log block prints and follow-through for pattern analysis.', 'reason': 'Large print/block detected (size: 1341, vol: 2213)'}]",1,2213,5.0
Gamma Pin / Dealer Magnet Edge,2024-08-02 05:00:00,4/4 conditions met: Gamma/OI detected (236); Gamma/OI detected (236); Gamma/OI detected (236),High (with data),1.07892,Black Box / Microstructure,"Gamma, OI, Pin, Dealer, Expiry",4,triggered,4,"[{'step': 1, 'description': 'Download OI/gamma by strike for main asset (SPX, NQ, ES, etc.).', 'reason': 'Gamma/OI detected (236)'}, {'step': 2, 'description': 'Overlay strike OI on price/time chart.', 'reason': 'Gamma/OI detected (236)'}, {'step': 3, 'description': 'Fade mean-reverting moves toward pin strike pre-expiry.', 'reason': 'Gamma/OI detected (236)'}, {'step': 4, 'description': 'Trade trend breakout post-expiry as dealer gamma flips/unwinds.', 'reason': 'Gamma/OI detected (236)'}]",1,2213,5.0
Block Order Footprint Detection,2024-08-02 06:00:00,"4/4 conditions met: Large print/block detected (size: 1107, vol: 1250); Volume/footprint activity (spike: False, clusters: 2); Gamma/OI detected (147)",High,1.0792,Black Box / Microstructure,"Block, Footprint, Breakout, Absorption",4,triggered,4,"[{'step': 1, 'description': 'Mark levels with persistent large prints and small net range.', 'reason': 'Large print/block detected (size: 1107, vol: 1250)'}, {'step': 2, 'description': 'Enter on expansion after final absorption or “push.”', 'reason': 'Volume/footprint activity (spike: False, clusters: 2)'}, {'step': 3, 'description': 'Confirm direction with OI delta or footprint chart.', 'reason': 'Gamma/OI detected (147)'}, {'step': 4, 'description': 'Exit at next liquidity node or risk level.', 'reason': 'Liquidity conditions met (proxy: 395770)'}]",2,1250,6.0
Dark Pool Signature / Block Print Node,2024-08-02 06:00:00,"3/4 conditions met: Large print/block detected (size: 1107, vol: 1250); Volume/footprint activity (spike: False, clusters: 2); Large print/block detected (size: 1107, vol: 1250)",High,1.0792,Black Box / Microstructure,"Dark Pool, Block, VWAP, Tape",3,triggered,4,"[{'step': 1, 'description': 'Monitor time & sales for large prints off-market or odd-lot prints at key levels.', 'reason': 'Large print/block detected (size: 1107, vol: 1250)'}, {'step': 2, 'description': 'Watch for volume surges with minimal visible size on Level 2.', 'reason': 'Volume/footprint activity (spike: False, clusters: 2)'}, {'step': 4, 'description': 'Log block prints and follow-through for pattern analysis.', 'reason': 'Large print/block detected (size: 1107, vol: 1250)'}]",2,1250,6.0
Gamma Pin / Dealer Magnet Edge,2024-08-02 06:00:00,4/4 conditions met: Gamma/OI detected (147); Gamma/OI detected (147); Gamma/OI detected (147),High (with data),1.0792,Black Box / Microstructure,"Gamma, OI, Pin, Dealer, Expiry",4,triggered,4,"[{'step': 1, 'description': 'Download OI/gamma by strike for main asset (SPX, NQ, ES, etc.).', 'reason': 'Gamma/OI detected (147)'}, {'step': 2, 'description': 'Overlay strike OI on price/time chart.', 'reason': 'Gamma/OI detected (147)'}, {'step': 3, 'description': 'Fade mean-reverting moves toward pin strike pre-expiry.', 'reason': 'Gamma/OI detected (147)'}, {'step': 4, 'description': 'Trade trend breakout post-expiry as dealer gamma flips/unwinds.', 'reason': 'Gamma/OI detected (147)'}]",2,1250,6.0
Block Order Footprint Detection,2024-08-02 07:00:00,"4/4 conditions met: Large print/block detected (size: 1341, vol: 1173); Volume/footprint activity (spike: False, clusters: 3); Gamma/OI detected (70)",High,1.07966,Black Box / Microstructure,"Block, Footprint, Breakout, Absorption",4,triggered,4,"[{'step': 1, 'description': 'Mark levels with persistent large prints and small net range.', 'reason': 'Large print/block detected (size: 1341, vol: 1173)'}, {'step': 2, 'description': 'Enter on expansion after final absorption or “push.”', 'reason': 'Volume/footprint activity (spike: False, clusters: 3)'}, {'step': 3, 'description': 'Confirm direction with OI delta or footprint chart.', 'reason': 'Gamma/OI detected (70)'}, {'step': 4, 'description': 'Exit at next liquidity node or risk level.', 'reason': 'Liquidity conditions met (proxy: 371282)'}]",3,1173,7.0
