node_name,confidence,entry_timestamp,entry_price,exit_timestamp,exit_price,exit_reason,position_size,stop_loss,take_profit,pnl_points,pnl_percent,duration_held,trigger_reason,tags,workflow_matches,status
Block Order Footprint Detection,High,2024-08-02 04:00:00,1.07897,2024-08-05 00:00:00,1.09189,TIMEOUT,10.0,1.07397,1.0964699999999996,0.12920000000000043,11.97438297635712,20,"4/4 conditions met: Large print/block detected (size: 1883, vol: 2047); Volume/footprint activity (spike: False, clusters: 3); Gamma/OI detected (157)","Block, Footprint, Breakout, Absorption",4,CLOSED_TIMEOUT
Dark Pool Signature / Block Print Node,High,2024-08-02 04:00:00,1.07897,2024-08-05 00:00:00,1.09189,TIMEOUT,10.0,1.07397,1.0964699999999996,0.12920000000000043,11.97438297635712,20,"3/4 conditions met: Large print/block detected (size: 1883, vol: 2047); Volume/footprint activity (spike: False, clusters: 3); Large print/block detected (size: 1883, vol: 2047)","Dark Pool, Block, VWAP, Tape",3,CLOSED_TIMEOUT
Gamma Pin / Dealer Magnet Edge,High (with data),2024-08-02 04:00:00,1.07897,2024-08-05 00:00:00,1.09189,TIMEOUT,10.0,1.07397,1.0982199999999995,0.12920000000000043,11.97438297635712,20,4/4 conditions met: Gamma/OI detected (157); Gamma/OI detected (157); Gamma/OI detected (157),"Gamma, OI, Pin, Dealer, Expiry",4,CLOSED_TIMEOUT
Block Order Footprint Detection,High,2024-08-02 05:00:00,1.07892,2024-08-05 01:00:00,1.0905,TIMEOUT,10.0,1.0739200000000002,1.0964199999999997,0.11579999999999924,10.73295517739955,20,"4/4 conditions met: Large print/block detected (size: 1341, vol: 2213); Volume/footprint activity (spike: False, clusters: 1); Gamma/OI detected (236)","Block, Footprint, Breakout, Absorption",4,CLOSED_TIMEOUT
Dark Pool Signature / Block Print Node,High,2024-08-02 05:00:00,1.07892,2024-08-05 01:00:00,1.0905,TIMEOUT,10.0,1.0739200000000002,1.0964199999999997,0.11579999999999924,10.73295517739955,20,"3/4 conditions met: Large print/block detected (size: 1341, vol: 2213); Volume/footprint activity (spike: False, clusters: 1); Large print/block detected (size: 1341, vol: 2213)","Dark Pool, Block, VWAP, Tape",3,CLOSED_TIMEOUT
Gamma Pin / Dealer Magnet Edge,High (with data),2024-08-02 05:00:00,1.07892,2024-08-05 01:00:00,1.0905,TIMEOUT,10.0,1.0739200000000002,1.0981699999999996,0.11579999999999924,10.73295517739955,20,4/4 conditions met: Gamma/OI detected (236); Gamma/OI detected (236); Gamma/OI detected (236),"Gamma, OI, Pin, Dealer, Expiry",4,CLOSED_TIMEOUT
Block Order Footprint Detection,High,2024-08-02 06:00:00,1.0792,2024-08-05 02:00:00,1.09093,TIMEOUT,10.0,1.0742,1.0966999999999996,0.11730000000000018,10.869162342475926,20,"4/4 conditions met: Large print/block detected (size: 1107, vol: 1250); Volume/footprint activity (spike: False, clusters: 2); Gamma/OI detected (147)","Block, Footprint, Breakout, Absorption",4,CLOSED_TIMEOUT
Dark Pool Signature / Block Print Node,High,2024-08-02 06:00:00,1.0792,2024-08-05 02:00:00,1.09093,TIMEOUT,10.0,1.0742,1.0966999999999996,0.11730000000000018,10.869162342475926,20,"3/4 conditions met: Large print/block detected (size: 1107, vol: 1250); Volume/footprint activity (spike: False, clusters: 2); Large print/block detected (size: 1107, vol: 1250)","Dark Pool, Block, VWAP, Tape",3,CLOSED_TIMEOUT
Gamma Pin / Dealer Magnet Edge,High (with data),2024-08-02 06:00:00,1.0792,2024-08-05 02:00:00,1.09093,TIMEOUT,10.0,1.0742,1.0984499999999995,0.11730000000000018,10.869162342475926,20,4/4 conditions met: Gamma/OI detected (147); Gamma/OI detected (147); Gamma/OI detected (147),"Gamma, OI, Pin, Dealer, Expiry",4,CLOSED_TIMEOUT
Block Order Footprint Detection,High,2024-08-02 07:00:00,1.07966,2024-08-05 03:00:00,1.09156,TIMEOUT,10.0,1.0746600000000002,1.0971599999999997,0.11900000000000022,11.021988403756758,20,"4/4 conditions met: Large print/block detected (size: 1341, vol: 1173); Volume/footprint activity (spike: False, clusters: 3); Gamma/OI detected (70)","Block, Footprint, Breakout, Absorption",4,CLOSED_TIMEOUT
