node_name,timestamp,confidence,signal_strength,market_condition
Block Order Footprint Detection,2024-06-03 10:00:00,Medium,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2024-06-03 10:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-03 10:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-03 17:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-03 17:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-04 09:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-04 09:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-04 10:00:00,Medium,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2024-06-04 10:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-04 10:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-04 11:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-04 11:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-04 17:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-04 17:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-05 10:00:00,Medium,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2024-06-05 10:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-05 10:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-05 16:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-05 16:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-05 17:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-05 17:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-06 15:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-06 15:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-06 16:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-06 16:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-07 09:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-07 09:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-07 10:00:00,Medium,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2024-06-07 10:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-07 10:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-07 11:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-07 11:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-07 15:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-07 15:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-07 16:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-07 16:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-10 09:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-10 09:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-10 10:00:00,Medium,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2024-06-10 10:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-10 10:00:00,Medium,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2024-06-10 12:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-11 09:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-11 09:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-11 10:00:00,Medium,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2024-06-11 10:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-11 10:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-11 11:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-11 11:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-11 12:00:00,Medium,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2024-06-11 12:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-11 12:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-12 15:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-12 15:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-12 16:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-12 16:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-12 21:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-12 21:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-13 10:00:00,Medium,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2024-06-13 10:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-13 10:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-13 15:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-13 15:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-14 09:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-14 09:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-14 10:00:00,Medium,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2024-06-14 10:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-14 10:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-14 11:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-14 11:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-14 12:00:00,Medium,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2024-06-14 12:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-14 12:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-17 09:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-17 09:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-17 10:00:00,Medium,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2024-06-17 10:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-17 10:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-18 09:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-18 09:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-18 10:00:00,Medium,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2024-06-18 10:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-18 10:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-18 15:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-18 15:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-19 09:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-19 09:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-19 10:00:00,Medium,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2024-06-19 10:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-19 10:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-20 04:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-20 04:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-20 05:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-20 05:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-20 09:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-20 09:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-20 10:00:00,Medium,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2024-06-20 10:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-20 10:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-20 11:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-20 11:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-20 15:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-20 15:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-21 09:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-21 09:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-21 10:00:00,Medium,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2024-06-21 10:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-21 10:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-21 11:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-21 11:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-24 08:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-24 08:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-24 10:00:00,Medium,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2024-06-24 10:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-24 10:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-25 10:00:00,Medium,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2024-06-25 10:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-25 10:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-25 11:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-25 11:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-26 09:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-26 09:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-26 10:00:00,Medium,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2024-06-26 10:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-26 10:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-27 09:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-27 09:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-27 10:00:00,Medium,1.0,normal
Fusion Node—Liquidity + Gamma + Time,2024-06-27 10:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-27 10:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-27 11:00:00,Medium,1.0,normal
Dark Pool Signature / Block Print Node,2024-06-27 11:00:00,Medium,1.0,normal
Block Order Footprint Detection,2024-06-27 15:00:00,Medium,1.0,normal
